parameterization_id,iteration_number,sim_id,likelihood,ART Link Max,ART Link Mid,All: Infmrl Condoms Late,All: LOW Risk,All: Trns Condoms Late,Base Infectivity,Circumcision Reduced Acquire,Infmrl Condoms Late,Infmrl Form Rate,Infrml Condom Mid,Infrml Condom Rate,Infrml Dur Het,Male To Female Old,Male To Female Young,Max Infmrl F LOW,Max Infmrl F MED,Max Infmrl M LOW,Max Infmrl M MED,Max Mrtl F ME,Max Mrtl M ME,Max Trns F LOW,Max Trns F MED,Max Trns M LOW,Max Trns M MED,Mrtl Condom Max,Mrtl Condom Mid,Mrtl Condom Rate,Mrtl Form Rate,Pr Ex Infmrl Fem LOW,Pr Ex Infmrl Fem MED,Pr Ex Infmrl Male LOW,Pr Ex Infmrl Male MED,Pr Ex Trns Fem LOW,Pr Ex Trns Fem MED,Pr Ex Trns Male LOW,Pr Ex Trns Male MED,PreART Link Max,PreART Link Mid,PreART Link Min,Risk Assortivity,SeedYr HIGH,Sexual Debut Age Female Weibull Heterogeneity,Sexual Debut Age Female Weibull Scale,Sexual Debut Age Male Weibull Heterogeneity,Sexual Debut Age Male Weibull Scale,Trns Condom Late,Trns Condom Mid,Trns Condom Rate,Trns Form Rate,run_number
0,36,103e170a-d503-e911-a2bd-c4346bcb1555,95.86245366,1,2005.842625,0.627329462,0.934742856,0.199770867,0.001413433,0.6,0.371252236,0.000838737,1997.782565,2.058364105,0.685301858,2.420192068,2.544127,1.659348472,0.903841413,1.747477648,0.789072715,1.195008673,0.926020588,1.518093954,3.056766514,1.456898902,3.167605158,0.184096421,1995.019991,3.65932404,0.000105146,0.082265683,0.393161806,0.424575101,0.390559139,0.061257342,0.562794907,0.170723899,0.576596651,0.914732043,1997.631852,0.619985371,0.499827217,1991,0.06604952,16.41491839,0.060356739,16.23045005,0.604057355,2005.781847,1.845960027,0.001347908,57782
1,33,0732b60c-d002-e911-a2bd-c4346bcb1555,95.84480685,1,2006.03644,0.647755692,0.932835554,0.207255696,0.001509659,0.6,0.374656243,0.000802966,1997.940951,2.01715096,0.681916915,2.217496321,2.899857163,1.680390829,0.887963687,1.774940288,0.777226259,1.263137332,0.957095993,1.518657125,3.080570169,1.435305504,3.01549878,0.191145588,1995.251746,3.664119383,0.000108344,0.075263525,0.413318151,0.414424915,0.376999401,0.070334141,0.573543642,0.165664322,0.591747699,0.866164054,1998.282481,0.629759303,0.502562867,1991,0.062628879,16.48810159,0.044445908,16.59185276,0.605674416,2006.083812,2.00506268,0.001399348,52520
2,40,2c8adc86-2604-e911-a2bd-c4346bcb1555,95.84247642,0.997263328,2006.156478,0.621621741,0.908182167,0.167066427,0.001453586,0.6,0.35970935,0.000754356,1997.054077,2.064031183,0.707149762,2.239677711,2.349713793,1.624426666,0.884607411,1.758522729,0.689320717,1.124733688,0.933927049,1.505036191,3.155486504,1.516781704,3.106775659,0.19376476,1994.001606,3.614948302,0.000108402,0.068070332,0.397612785,0.463718183,0.394526052,0.063547868,0.627414222,0.15213949,0.587114037,0.975577426,1997.003,0.62042598,0.400532275,1991,0.06710128,16.70444183,0.024802389,16.32071449,0.623151,2006.875862,1.838748977,0.001253501,4153
3,29,7211a147-46fd-e811-a2bd-c4346bcb1555,95.83915553,1,2005.886326,0.586184687,0.935651482,0.231285645,0.001468256,0.6,0.364299211,0.000971731,1999.535374,1.865013803,0.677969489,2.307667529,3.763543723,1.717316102,0.893085901,1.687900728,0.672233009,1.266236306,0.917971926,1.460244313,3.183365518,1.531957909,2.6535269,0.237996903,1995.360296,3.482127591,0.000110921,0.030562477,0.376971306,0.474794862,0.383501617,0.100949861,0.572146243,0.198320774,0.57500538,0.838890766,1999.143318,0.614828932,0.473078756,1991,0.054184633,16.19003661,0.044746403,16.76720591,0.569332668,2006.834815,1.820890239,0.001253158,55812
4,36,78dffee0-d503-e911-a2bd-c4346bcb1555,95.83715251,1,2005.856994,0.61722664,0.950555651,0.200338054,0.001599359,0.6,0.355264871,0.000820921,1997.867253,1.965054702,0.676425954,2.539713596,2.132342591,1.607712492,0.852290193,1.759463136,0.823491954,1.227813148,0.905247986,1.520979476,3.013322533,1.489628905,3.19039222,0.176773716,1995.664892,3.740656327,0.000102028,0.09636921,0.38101649,0.451014906,0.369863809,0.061054252,0.547244951,0.179874973,0.587710213,0.942920041,1997.762956,0.573219518,0.512748802,1991,0.054779523,16.3253501,0.076263767,16.06627126,0.595493419,2004.997001,1.792661268,0.001404842,31619
5,33,4200be58-cf02-e911-a2bd-c4346bcb1555,95.8362252,1,2005.962924,0.67560627,0.933393716,0.209155385,0.001482018,0.6,0.393063963,0.000936093,1998.766329,1.956084432,0.699214085,2.156436981,3.071561182,1.762191964,0.915211694,1.735800116,0.702697112,1.231205279,0.986453719,1.472555248,2.899307166,1.490646076,2.894805587,0.208488091,1994.948383,3.664281425,0.000115332,0.09422726,0.381617884,0.435597897,0.364743633,0.082780715,0.584749634,0.162720479,0.592725865,0.86193274,1999.151344,0.591337141,0.485236895,1991,0.073863474,16.46612142,0.054450177,16.42809375,0.622655478,2006.809295,1.947085523,0.001339796,36493
6,35,9b2d027b-6f03-e911-a2bd-c4346bcb1555,95.83596397,1,2005.842625,0.627329462,0.934742856,0.199770867,0.001413433,0.6,0.371252236,0.000838737,1997.782565,2.058364105,0.685301858,2.420192068,2.544127,1.659348472,0.903841413,1.747477648,0.789072715,1.195008673,0.926020588,1.518093954,3.056766514,1.456898902,3.167605158,0.184096421,1995.019991,3.65932404,0.000105146,0.082265683,0.393161806,0.424575101,0.390559139,0.061257342,0.562794907,0.170723899,0.576596651,0.914732043,1997.631852,0.619985371,0.499827217,1991,0.06604952,16.41491839,0.060356739,16.23045005,0.604057355,2005.781847,1.845960027,0.001347908,42994
7,34,d9739fcc-0b03-e911-a2bd-c4346bcb1555,95.83514889,1,2006.03644,0.647755692,0.932835554,0.207255696,0.001509659,0.6,0.374656243,0.000802966,1997.940951,2.01715096,0.681916915,2.217496321,2.899857163,1.680390829,0.887963687,1.774940288,0.777226259,1.263137332,0.957095993,1.518657125,3.080570169,1.435305504,3.01549878,0.191145588,1995.251746,3.664119383,0.000108344,0.075263525,0.413318151,0.414424915,0.376999401,0.070334141,0.573543642,0.165664322,0.591747699,0.866164054,1998.282481,0.629759303,0.502562867,1991,0.062628879,16.48810159,0.044445908,16.59185276,0.605674416,2006.083812,2.00506268,0.001399348,26102
8,31,7d62629c-f801-e911-a2bd-c4346bcb1555,95.83427986,1,2006.162353,0.611378073,0.931649912,0.215617706,0.001465151,0.6,0.409181091,0.000907367,1998.854428,1.84750568,0.68642814,2.162912858,3.545717934,1.762242149,0.903770894,1.725685788,0.734760359,1.300534084,0.9,1.486478711,3.128285853,1.496537206,2.897430118,0.213881318,1994.386526,3.706466713,0.00011438,0.072609752,0.391025509,0.440962799,0.379856335,0.082155273,0.580653439,0.199528293,0.596793045,0.833956606,1998.635438,0.607508349,0.43627897,1991,0.059877817,16.40730516,0.04930155,16.38477621,0.603026124,2006.805957,1.909152643,0.001302801,14787
9,38,f91e5e16-fa03-e911-a2bd-c4346bcb1555,95.83366467,1,2006.337225,0.650450577,0.915519791,0.194913246,0.0013932,0.6,0.365442222,0.000628992,1997.08189,2.029843617,0.651002428,2.403670335,2.621983492,1.593356915,0.89151302,1.755557526,0.768484692,1.202381123,0.925684145,1.519677697,3.081263796,1.479067017,3.05998761,0.191957849,1994.417693,3.645896269,0.000108533,0.056353156,0.37081791,0.461788944,0.38212874,0.06092597,0.566922135,0.159922843,0.589347024,0.923120668,1997.110466,0.662247914,0.43156582,1991,0.07248855,16.31281361,0.040734753,16.17220664,0.618077476,2006.996652,1.888659223,0.001254921,63291
